lat_deg,lat_rad
24.2500000000,0.4232423436
24.0000000000,0.4188790205
23.7500000000,0.4145156973
23.5000000000,0.4101523742
23.2500000000,0.4057890511
23.0000000000,0.4014257280
22.7500000000,0.3970624048
22.5000000000,0.3926990817
22.2500000000,0.3883357586
22.0000000000,0.3839724354
21.7500000000,0.3796091123
21.5000000000,0.3752457892
21.2500000000,0.3708824660
21.0000000000,0.3665191429
20.7500000000,0.3621558198
20.5000000000,0.3577924967
20.2500000000,0.3534291735
20.0000000000,0.3490658504
19.7500000000,0.3447025273
19.5000000000,0.3403392041
19.2500000000,0.3359758810
19.0000000000,0.3316125579
18.7500000000,0.3272492347
18.5000000000,0.3228859116
18.2500000000,0.3185225885
18.0000000000,0.3141592654
17.7500000000,0.3097959422
17.5000000000,0.3054326191
17.2500000000,0.3010692960
17.0000000000,0.2967059728
16.7500000000,0.2923426497
16.5000000000,0.2879793266
16.2500000000,0.2836160034
16.0000000000,0.2792526803
15.7500000000,0.2748893572
15.5000000000,0.2705260341
15.2500000000,0.2661627109
15.0000000000,0.2617993878
14.7500000000,0.2574360647
14.5000000000,0.2530727415
14.2500000000,0.2487094184
14.0000000000,0.2443460953
13.7500000000,0.2399827721
13.5000000000,0.2356194490
13.2500000000,0.2312561259
13.0000000000,0.2268928028
12.7500000000,0.2225294796
12.5000000000,0.2181661565
12.2500000000,0.2138028334
12.0000000000,0.2094395102
11.7500000000,0.2050761871
11.5000000000,0.2007128640
11.2500000000,0.1963495408
11.0000000000,0.1919862177
10.7500000000,0.1876228946
10.5000000000,0.1832595715
10.2500000000,0.1788962483
10.0000000000,0.1745329252
9.7500000000,0.1701696021
9.5000000000,0.1658062789
9.2500000000,0.1614429558
9.0000000000,0.1570796327
8.7500000000,0.1527163095
8.5000000000,0.1483529864
8.2500000000,0.1439896633
8.0000000000,0.1396263402
7.7500000000,0.1352630170
7.5000000000,0.1308996939
7.2500000000,0.1265363708
7.0000000000,0.1221730476
6.7500000000,0.1178097245
6.5000000000,0.1134464014
6.2500000000,0.1090830782
6.0000000000,0.1047197551
5.7500000000,0.1003564320
5.5000000000,0.0959931089
5.2500000000,0.0916297857
5.0000000000,0.0872664626
4.7500000000,0.0829031395
4.5000000000,0.0785398163
4.2500000000,0.0741764932
4.0000000000,0.0698131701
3.7500000000,0.0654498469
3.5000000000,0.0610865238
3.2500000000,0.0567232007
3.0000000000,0.0523598776
2.7500000000,0.0479965544
2.5000000000,0.0436332313
2.2500000000,0.0392699082
2.0000000000,0.0349065850
1.7500000000,0.0305432619
1.5000000000,0.0261799388
1.2500000000,0.0218166156
1.0000000000,0.0174532925
0.7500000000,0.0130899694
0.5000000000,0.0087266463
0.2500000000,0.0043633231
0.0000000000,0.0000000000
-0.2500000000,-0.0043633231
-0.5000000000,-0.0087266463
-0.7500000000,-0.0130899694
-1.0000000000,-0.0174532925
-1.2500000000,-0.0218166156
-1.5000000000,-0.0261799388
-1.7500000000,-0.0305432619
-2.0000000000,-0.0349065850
-2.2500000000,-0.0392699082
-2.5000000000,-0.0436332313
-2.7500000000,-0.0479965544
-3.0000000000,-0.0523598776
-3.2500000000,-0.0567232007
-3.5000000000,-0.0610865238
-3.7500000000,-0.0654498469
-4.0000000000,-0.0698131701
-4.2500000000,-0.0741764932
-4.5000000000,-0.0785398163
-4.7500000000,-0.0829031395
-5.0000000000,-0.0872664626
-5.2500000000,-0.0916297857
-5.5000000000,-0.0959931089
-5.7500000000,-0.1003564320
-6.0000000000,-0.1047197551
-6.2500000000,-0.1090830782
-6.5000000000,-0.1134464014
-6.7500000000,-0.1178097245
-7.0000000000,-0.1221730476
-7.2500000000,-0.1265363708
-7.5000000000,-0.1308996939
-7.7500000000,-0.1352630170
-8.0000000000,-0.1396263402
-8.2500000000,-0.1439896633
-8.5000000000,-0.1483529864
-8.7500000000,-0.1527163095
-9.0000000000,-0.1570796327
-9.2500000000,-0.1614429558
-9.5000000000,-0.1658062789
-9.7500000000,-0.1701696021
-10.0000000000,-0.1745329252
-10.2500000000,-0.1788962483
-10.5000000000,-0.1832595715
-10.7500000000,-0.1876228946
-11.0000000000,-0.1919862177
-11.2500000000,-0.1963495408
-11.5000000000,-0.2007128640
-11.7500000000,-0.2050761871
-12.0000000000,-0.2094395102
-12.2500000000,-0.2138028334
-12.5000000000,-0.2181661565
-12.7500000000,-0.2225294796
-13.0000000000,-0.2268928028
-13.2500000000,-0.2312561259
-13.5000000000,-0.2356194490
-13.7500000000,-0.2399827721
-14.0000000000,-0.2443460953
-14.2500000000,-0.2487094184
-14.5000000000,-0.2530727415
-14.7500000000,-0.2574360647
-15.0000000000,-0.2617993878
-15.2500000000,-0.2661627109
-15.5000000000,-0.2705260341
-15.7500000000,-0.2748893572
-16.0000000000,-0.2792526803
-16.2500000000,-0.2836160034
-16.5000000000,-0.2879793266
-16.7500000000,-0.2923426497
-17.0000000000,-0.2967059728
-17.2500000000,-0.3010692960
-17.5000000000,-0.3054326191
-17.7500000000,-0.3097959422
-18.0000000000,-0.3141592654
-18.2500000000,-0.3185225885
-18.5000000000,-0.3228859116
-18.7500000000,-0.3272492347
-19.0000000000,-0.3316125579
-19.2500000000,-0.3359758810
-19.5000000000,-0.3403392041
-19.7500000000,-0.3447025273
-20.0000000000,-0.3490658504
-20.2500000000,-0.3534291735
-20.5000000000,-0.3577924967
-20.7500000000,-0.3621558198
-21.0000000000,-0.3665191429
-21.2500000000,-0.3708824660
-21.5000000000,-0.3752457892
-21.7500000000,-0.3796091123
-22.0000000000,-0.3839724354
-22.2500000000,-0.3883357586
-22.5000000000,-0.3926990817
-22.7500000000,-0.3970624048
-23.0000000000,-0.4014257280
-23.2500000000,-0.4057890511
-23.5000000000,-0.4101523742
-23.7500000000,-0.4145156973
-24.0000000000,-0.4188790205
-24.2500000000,-0.4232423436
-24.5000000000,-0.4276056667
-24.7500000000,-0.4319689899
-25.0000000000,-0.4363323130
-25.2500000000,-0.4406956361
-25.5000000000,-0.4450589593
-25.7500000000,-0.4494222824
-26.0000000000,-0.4537856055
-26.2500000000,-0.4581489286
-26.5000000000,-0.4625122518
-26.7500000000,-0.4668755749
-27.0000000000,-0.4712388980
-27.2500000000,-0.4756022212
-27.5000000000,-0.4799655443
-27.7500000000,-0.4843288674
-28.0000000000,-0.4886921906
-28.2500000000,-0.4930555137
-28.5000000000,-0.4974188368
-28.7500000000,-0.5017821599
-29.0000000000,-0.5061454831
-29.2500000000,-0.5105088062
-29.5000000000,-0.5148721293
-29.7500000000,-0.5192354525
-30.0000000000,-0.5235987756
-30.2500000000,-0.5279620987
-30.5000000000,-0.5323254219
-30.7500000000,-0.5366887450
-31.0000000000,-0.5410520681
-31.2500000000,-0.5454153912
-31.5000000000,-0.5497787144
-31.7500000000,-0.5541420375
-32.0000000000,-0.5585053606
-32.2500000000,-0.5628686838
-32.5000000000,-0.5672320069
-32.7500000000,-0.5715953300
-33.0000000000,-0.5759586532
-33.2500000000,-0.5803219763
-33.5000000000,-0.5846852994
-33.7500000000,-0.5890486225
-34.0000000000,-0.5934119457
-34.2500000000,-0.5977752688
-34.5000000000,-0.6021385919
-34.7500000000,-0.6065019151
-35.0000000000,-0.6108652382
-35.2500000000,-0.6152285613
-35.5000000000,-0.6195918845
-35.7500000000,-0.6239552076
-36.0000000000,-0.6283185307
-36.2500000000,-0.6326818538
-36.5000000000,-0.6370451770
-36.7500000000,-0.6414085001
-37.0000000000,-0.6457718232
-37.2500000000,-0.6501351464
-37.5000000000,-0.6544984695
-37.7500000000,-0.6588617926
-38.0000000000,-0.6632251158
-38.2500000000,-0.6675884389
-38.5000000000,-0.6719517620
-38.7500000000,-0.6763150851
-39.0000000000,-0.6806784083
-39.2500000000,-0.6850417314
-39.5000000000,-0.6894050545
-39.7500000000,-0.6937683777
-40.0000000000,-0.6981317008
-40.2500000000,-0.7024950239
-40.5000000000,-0.7068583471
-40.7500000000,-0.7112216702
-41.0000000000,-0.7155849933
-41.2500000000,-0.7199483164
-41.5000000000,-0.7243116396
-41.7500000000,-0.7286749627
-42.0000000000,-0.7330382858
-42.2500000000,-0.7374016090
-42.5000000000,-0.7417649321
-42.7500000000,-0.7461282552
-43.0000000000,-0.7504915784
-43.2500000000,-0.7548549015
-43.5000000000,-0.7592182246
-43.7500000000,-0.7635815477
-44.0000000000,-0.7679448709
-44.2500000000,-0.7723081940
-44.5000000000,-0.7766715171
-44.7500000000,-0.7810348403
-45.0000000000,-0.7853981634
-45.2500000000,-0.7897614865
-45.5000000000,-0.7941248097
-45.7500000000,-0.7984881328
-46.0000000000,-0.8028514559
-46.2500000000,-0.8072147790
-46.5000000000,-0.8115781022
-46.7500000000,-0.8159414253
-47.0000000000,-0.8203047484
-47.2500000000,-0.8246680716
-47.5000000000,-0.8290313947
-47.7500000000,-0.8333947178
-48.0000000000,-0.8377580410
-48.2500000000,-0.8421213641
-48.5000000000,-0.8464846872
-48.7500000000,-0.8508480103
-49.0000000000,-0.8552113335
-49.2500000000,-0.8595746566
-49.5000000000,-0.8639379797
-49.7500000000,-0.8683013029
-50.0000000000,-0.8726646260
-50.2500000000,-0.8770279491
-50.5000000000,-0.8813912723
-50.7500000000,-0.8857545954
-51.0000000000,-0.8901179185
-51.2500000000,-0.8944812416
-51.5000000000,-0.8988445648
-51.7500000000,-0.9032078879
-52.0000000000,-0.9075712110
-52.2500000000,-0.9119345342
-52.5000000000,-0.9162978573
-52.7500000000,-0.9206611804
-53.0000000000,-0.9250245036
-53.2500000000,-0.9293878267
-53.5000000000,-0.9337511498
-53.7500000000,-0.9381144729
-54.0000000000,-0.9424777961
-54.2500000000,-0.9468411192
-54.5000000000,-0.9512044423
-54.7500000000,-0.9555677655
-55.0000000000,-0.9599310886
-55.2500000000,-0.9642944117
-55.5000000000,-0.9686577349
-55.7500000000,-0.9730210580
-56.0000000000,-0.9773843811
-56.2500000000,-0.9817477042
-56.5000000000,-0.9861110274
-56.7500000000,-0.9904743505
-57.0000000000,-0.9948376736
-57.2500000000,-0.9992009968
-57.5000000000,-1.0035643199
-57.7500000000,-1.0079276430
-58.0000000000,-1.0122909662
-58.2500000000,-1.0166542893
-58.5000000000,-1.0210176124
-58.7500000000,-1.0253809355
-59.0000000000,-1.0297442587
-59.2500000000,-1.0341075818
-59.5000000000,-1.0384709049
-59.7500000000,-1.0428342281
-60.0000000000,-1.0471975512
-60.2500000000,-1.0515608743
-60.5000000000,-1.0559241975
-60.7500000000,-1.0602875206
-61.0000000000,-1.0646508437
-61.2500000000,-1.0690141668
-61.5000000000,-1.0733774900
-61.7500000000,-1.0777408131
-62.0000000000,-1.0821041362
-62.2500000000,-1.0864674594
-62.5000000000,-1.0908307825
-62.7500000000,-1.0951941056
-63.0000000000,-1.0995574288
-63.2500000000,-1.1039207519
-63.5000000000,-1.1082840750
-63.7500000000,-1.1126473981
-64.0000000000,-1.1170107213
-64.2500000000,-1.1213740444
-64.5000000000,-1.1257373675
-64.7500000000,-1.1301006907
-65.0000000000,-1.1344640138
-65.2500000000,-1.1388273369
-65.5000000000,-1.1431906601
-65.7500000000,-1.1475539832
-66.0000000000,-1.1519173063
-66.2500000000,-1.1562806294
-66.5000000000,-1.1606439526
-66.7500000000,-1.1650072757
-67.0000000000,-1.1693705988
-67.2500000000,-1.1737339220
-67.5000000000,-1.1780972451
-67.7500000000,-1.1824605682
-68.0000000000,-1.1868238914
-68.2500000000,-1.1911872145
-68.5000000000,-1.1955505376
-68.7500000000,-1.1999138607
-69.0000000000,-1.2042771839
-69.2500000000,-1.2086405070
-69.5000000000,-1.2130038301
-69.7500000000,-1.2173671533
-70.0000000000,-1.2217304764
-70.2500000000,-1.2260937995
-70.5000000000,-1.2304571227
-70.7500000000,-1.2348204458
-71.0000000000,-1.2391837689
-71.2500000000,-1.2435470920
-71.5000000000,-1.2479104152
-71.7500000000,-1.2522737383
-72.0000000000,-1.2566370614
-72.2500000000,-1.2610003846
-72.5000000000,-1.2653637077
-72.7500000000,-1.2697270308
-73.0000000000,-1.2740903540
-73.2500000000,-1.2784536771
-73.5000000000,-1.2828170002
-73.7500000000,-1.2871803233
-74.0000000000,-1.2915436465
-74.2500000000,-1.2959069696
-74.5000000000,-1.3002702927
-74.7500000000,-1.3046336159
-75.0000000000,-1.3089969390
-75.2500000000,-1.3133602621
-75.5000000000,-1.3177235853
-75.7500000000,-1.3220869084
-76.0000000000,-1.3264502315
-76.2500000000,-1.3308135546
-76.5000000000,-1.3351768778
-76.7500000000,-1.3395402009
-77.0000000000,-1.3439035240
-77.2500000000,-1.3482668472
-77.5000000000,-1.3526301703
-77.7500000000,-1.3569934934
-78.0000000000,-1.3613568166
-78.2500000000,-1.3657201397
-78.5000000000,-1.3700834628
-78.7500000000,-1.3744467859
-79.0000000000,-1.3788101091
-79.2500000000,-1.3831734322
-79.5000000000,-1.3875367553
-79.7500000000,-1.3919000785
-80.0000000000,-1.3962634016
-80.2500000000,-1.4006267247
-80.5000000000,-1.4049900479
-80.7500000000,-1.4093533710
-81.0000000000,-1.4137166941
-81.2500000000,-1.4180800172
-81.5000000000,-1.4224433404
-81.7500000000,-1.4268066635
-82.0000000000,-1.4311699866
-82.2500000000,-1.4355333098
-82.5000000000,-1.4398966329
-82.7500000000,-1.4442599560
-83.0000000000,-1.4486232792
-83.2500000000,-1.4529866023
-83.5000000000,-1.4573499254
-83.7500000000,-1.4617132485
-84.0000000000,-1.4660765717
-84.2500000000,-1.4704398948
-84.5000000000,-1.4748032179
-84.7500000000,-1.4791665411
-85.0000000000,-1.4835298642
-85.2500000000,-1.4878931873
-85.5000000000,-1.4922565105
-85.7500000000,-1.4966198336
-86.0000000000,-1.5009831567
-86.2500000000,-1.5053464798
-86.5000000000,-1.5097098030
-86.7500000000,-1.5140731261
-87.0000000000,-1.5184364492
-87.2500000000,-1.5227997724
-87.5000000000,-1.5271630955
-87.7500000000,-1.5315264186
-88.0000000000,-1.5358897418
-88.2500000000,-1.5402530649
-88.5000000000,-1.5446163880
-88.7500000000,-1.5489797111
-89.0000000000,-1.5533430343
-89.2500000000,-1.5577063574
-89.5000000000,-1.5620696805
-89.7500000000,-1.5664330037
-90.0000000000,-1.5707963268
